enquiry_id,text,category,industry,budget_inr,urgency_hint,priority
89,"We are a Healthcare business and need a Automation. We would like to discuss the requirements and pricing. Our approximate budget is ₹150,000. We would like to start within the next 1–2 weeks.",Automation,Healthcare,150000,High,High
90,"Can JZD help us build a Automation? We are in the Real Estate sector and want to get started soon. Our approximate budget is ₹50,000. We are planning this project within the next month.",Automation,Real Estate,50000,Medium,Medium
91,"Looking for help with Training/Courses for our Professional Services company. Please let us know the timeline and approximate cost. Our approximate budget is ₹250,000. We would like to start within the next 1–2 weeks.",Training/Courses,Professional Services,250000,High,High
92,"We are a E-commerce business and need a Training/Courses. We would like to discuss the requirements and pricing. Our approximate budget is ₹35,000. We would like to start within the next 1–2 weeks.",Training/Courses,E-commerce,35000,High,High
93,"Can JZD help us build a Data Analytics? We are in the Real Estate sector and want to get started soon. Our approximate budget is ₹25,000.",Data Analytics,Real Estate,25000,Low,Low
94,"We are a Education business and need a Chatbot. We would like to discuss the requirements and pricing. Our approximate budget is ₹35,000.",Chatbot,Education,35000,Low,Low
95,"We need a Training/Courses and would like someone to contact us regarding the project. Our business is in Education. Our approximate budget is ₹25,000. We are planning this project within the next month.",Training/Courses,Education,25000,Medium,Medium
96,"We need a Chatbot and would like someone to contact us regarding the project. Our business is in Logistics. Our approximate budget is ₹150,000. We are planning this project within the next month.",Chatbot,Logistics,150000,Medium,Medium
97,"We need a AI/ML Solution and would like someone to contact us regarding the project. Our business is in Education. Our approximate budget is ₹15,000.",AI/ML Solution,Education,15000,Low,Low
98,"Looking for help with AI/ML Solution for our Education company. Please let us know the timeline and approximate cost. Our approximate budget is ₹250,000.",AI/ML Solution,Education,250000,Low,Medium
99,"Can JZD help us build a Training/Courses? We are in the Retail sector and want to get started soon. Our approximate budget is ₹35,000. We are planning this project within the next month.",Training/Courses,Retail,35000,Medium,Medium
100,"We need a Mobile App and would like someone to contact us regarding the project. Our business is in Professional Services. Our approximate budget is ₹250,000.",Mobile App,Professional Services,250000,Low,Medium
