enquiry_id,enquiry_text,industry,primary_service,budget_inr,urgency_hint
65,"We need a Chatbot and would like someone to contact us regarding the project. Our business is in Hospitality. Our approximate budget is ₹75,000. We would like to start within the next 1–2 weeks.",Hospitality,Chatbot,75000,High
66,"We need a Website Development and would like someone to contact us regarding the project. Our business is in Real Estate. Our approximate budget is ₹25,000. We would like to start within the next 1–2 weeks.",Real Estate,Website Development,25000,High
67,"Looking for help with Website Development for our Real Estate company. Please let us know the timeline and approximate cost. Our approximate budget is ₹15,000. We are planning this project within the next month.",Real Estate,Website Development,15000,Medium
68,"We need a AI/ML Solution and would like someone to contact us regarding the project. Our business is in Real Estate. Our approximate budget is ₹250,000. We would like to start within the next 1–2 weeks.",Real Estate,AI/ML Solution,250000,High
69,"Looking for help with Website Development for our E-commerce company. Please let us know the timeline and approximate cost. Our approximate budget is ₹25,000.",E-commerce,Website Development,25000,Low
70,"Looking for help with Website Development for our E-commerce company. Please let us know the timeline and approximate cost. Our approximate budget is ₹100,000. We would like to start within the next 1–2 weeks.",E-commerce,Website Development,100000,High
71,"Can JZD help us build a AI/ML Solution? We are in the Manufacturing sector and want to get started soon. Our approximate budget is ₹15,000. We are planning this project within the next month.",Manufacturing,AI/ML Solution,15000,Medium
72,"Looking for help with Data Analytics for our CA/Accounting company. Please let us know the timeline and approximate cost. Our approximate budget is ₹50,000. We would like to start within the next 1–2 weeks.",CA/Accounting,Data Analytics,50000,High
73,"Looking for help with Data Analytics for our Retail company. Please let us know the timeline and approximate cost. Our approximate budget is ₹150,000. We would like to start within the next 1–2 weeks.",Retail,Data Analytics,150000,High
74,"We are a Education business and need a AI/ML Solution. We would like to discuss the requirements and pricing. Our approximate budget is ₹35,000. We are planning this project within the next month.",Education,AI/ML Solution,35000,Medium
75,"Looking for help with Data Analytics for our Healthcare company. Please let us know the timeline and approximate cost. Our approximate budget is ₹150,000. We would like to start within the next 1–2 weeks.",Healthcare,Data Analytics,150000,High
76,"We are a Real Estate business and need a AI/ML Solution. We would like to discuss the requirements and pricing. Our approximate budget is ₹25,000. We are planning this project within the next month.",Real Estate,AI/ML Solution,25000,Medium
77,"Can JZD help us build a Chatbot? We are in the Professional Services sector and want to get started soon. Our approximate budget is ₹50,000. We are planning this project within the next month.",Professional Services,Chatbot,50000,Medium
78,"Looking for help with Chatbot for our Real Estate company. Please let us know the timeline and approximate cost. Our approximate budget is ₹50,000.",Real Estate,Chatbot,50000,Low
79,"Can JZD help us build a Data Analytics? We are in the Manufacturing sector and want to get started soon. Our approximate budget is ₹75,000.",Manufacturing,Data Analytics,75000,Low
80,"We are a Hospitality business and need a Mobile App. We would like to discuss the requirements and pricing. Our approximate budget is ₹100,000.",Hospitality,Mobile App,100000,Low
81,"We are a Real Estate business and need a AI/ML Solution. We would like to discuss the requirements and pricing. Our approximate budget is ₹75,000.",Real Estate,AI/ML Solution,75000,Low
82,"Can JZD help us build a Mobile App? We are in the Logistics sector and want to get started soon. Our approximate budget is ₹100,000. We would like to start within the next 1–2 weeks.",Logistics,Mobile App,100000,High
83,"Looking for help with E-commerce Development for our Manufacturing company. Please let us know the timeline and approximate cost. Our approximate budget is ₹150,000. We would like to start within the next 1–2 weeks.",Manufacturing,E-commerce Development,150000,High
84,"Looking for help with Website Development for our Real Estate company. Please let us know the timeline and approximate cost. Our approximate budget is ₹150,000.",Real Estate,Website Development,150000,Low
85,"Can JZD help us build a Mobile App? We are in the Hospitality sector and want to get started soon. Our approximate budget is ₹25,000. We would like to start within the next 1–2 weeks.",Hospitality,Mobile App,25000,High
86,"Can JZD help us build a Data Analytics? We are in the Logistics sector and want to get started soon. Our approximate budget is ₹25,000. We would like to start within the next 1–2 weeks.",Logistics,Data Analytics,25000,High
87,"We need a Automation and would like someone to contact us regarding the project. Our business is in E-commerce. Our approximate budget is ₹150,000. We are planning this project within the next month.",E-commerce,Automation,150000,Medium
88,"We need a AI/ML Solution and would like someone to contact us regarding the project. Our business is in Real Estate. Our approximate budget is ₹50,000. We are planning this project within the next month.",Real Estate,AI/ML Solution,50000,Medium
89,"We are a Healthcare business and need a Automation. We would like to discuss the requirements and pricing. Our approximate budget is ₹150,000. We would like to start within the next 1–2 weeks.",Healthcare,Automation,150000,High
90,"Can JZD help us build a Automation? We are in the Real Estate sector and want to get started soon. Our approximate budget is ₹50,000. We are planning this project within the next month.",Real Estate,Automation,50000,Medium
91,"Looking for help with Training/Courses for our Professional Services company. Please let us know the timeline and approximate cost. Our approximate budget is ₹250,000. We would like to start within the next 1–2 weeks.",Professional Services,Training/Courses,250000,High
92,"We are a E-commerce business and need a Training/Courses. We would like to discuss the requirements and pricing. Our approximate budget is ₹35,000. We would like to start within the next 1–2 weeks.",E-commerce,Training/Courses,35000,High
93,"Can JZD help us build a Data Analytics? We are in the Real Estate sector and want to get started soon. Our approximate budget is ₹25,000.",Real Estate,Data Analytics,25000,Low
94,"We are a Education business and need a Chatbot. We would like to discuss the requirements and pricing. Our approximate budget is ₹35,000.",Education,Chatbot,35000,Low
95,"We need a Training/Courses and would like someone to contact us regarding the project. Our business is in Education. Our approximate budget is ₹25,000. We are planning this project within the next month.",Education,Training/Courses,25000,Medium
96,"We need a Chatbot and would like someone to contact us regarding the project. Our business is in Logistics. Our approximate budget is ₹150,000. We are planning this project within the next month.",Logistics,Chatbot,150000,Medium
97,"We need a AI/ML Solution and would like someone to contact us regarding the project. Our business is in Education. Our approximate budget is ₹15,000.",Education,AI/ML Solution,15000,Low
98,"Looking for help with AI/ML Solution for our Education company. Please let us know the timeline and approximate cost. Our approximate budget is ₹250,000.",Education,AI/ML Solution,250000,Low
99,"Can JZD help us build a Training/Courses? We are in the Retail sector and want to get started soon. Our approximate budget is ₹35,000. We are planning this project within the next month.",Retail,Training/Courses,35000,Medium
100,"We need a Mobile App and would like someone to contact us regarding the project. Our business is in Professional Services. Our approximate budget is ₹250,000.",Professional Services,Mobile App,250000,Low
